class	channel	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209	210	211	212	213	214	215	216	217	218	219	220	221	222	223	224	225	226	227	228	229	230	231	232	233	234	235	236	237	238	239	240	241	242	243	244	245	246	247	248	249	250	251	252	253	254	255
pulp	hue	0.00479645840320118	0.011768665490303223	0.01107642818209495	0.007049298168613104	0.006190736923928882	0.005317458654268005	0.0037326537823448814	0.0023508661882982456	0.0018847377019792326	0.0024546912613747827	0.004755750032193299	0.011951534963346605	0.027786814342448805	0.04416144438869467	0.05750022363785313	0.06093979100262759	0.05999152227030536	0.07934776815014187	0.11075951789223586	0.12807921041854659	0.11606565928054395	0.08668762053886377	0.05646982326765424	0.039097883392968345	0.033708294716826015	0.018942729889533046	0.007388316896572102	0.0023524374870661467	0.000570635466819775	0.0001286857067228168	6.697890137130894e-05	3.466618570436077e-05	2.605086359188029e-05	1.4048394214131717e-05	2.7137567976112514e-05	3.1896035512191286e-05	1.1141892519034242e-05	1.7614052617435991e-06	2.9809644125611365e-06	1.1492567729791574e-06	2.9726176736749e-06	5.746283864376375e-07	4.168270821761102e-09	1.1330231211947508e-12	1.1540769204058532e-17	4.404979357911094e-24	6.30037119727604e-32	3.376770424361695e-41	6.781879538619133e-52	5.104012692576047e-64	1.4394167698332072e-77	1.5211586404123848e-92	6.023870089515602e-109	8.939018254328206e-127	4.970695839140424e-146	1.035756559161407e-166	8.087444875582392e-189	2.3663452740154508e-212	2.5945260198893165e-237	1.0659849819221599e-263	1.6411840215296887e-291	9.466e-321	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8933e-320	3.2823680430612436e-291	2.1319699638452893e-263	5.189052039780992e-237	4.732690548034937e-212	1.6174889751177654e-188	2.0715131183236382e-166	9.941391678280849e-146	1.7878036508668604e-126	1.204774017903497e-108	3.042317280825634e-92	2.8788335396664145e-77	1.0208025385156735e-63	1.3563759077240962e-51	6.75354084872339e-41	1.2600742394555931e-31	8.809958715823315e-24	2.308153840811938e-17	2.2660462423850967e-12	8.336541631982293e-09	1.1492556398521836e-06	5.9410670764934155e-06	1.723881760243534e-06	2.976785944462038e-06	5.746295194607735e-07	4.1682708333023005e-09	1.133023121199156e-12	1.1540769204059785e-17	4.404979357911657e-24	6.30037119727604e-32	3.376770424361695e-41	6.781879538620481e-52	5.1040126925783674e-64	1.4394167698332072e-77	1.521158640412817e-92	6.023870089517485e-109	8.939018254328206e-127	4.970695839140424e-146	1.0357565591618191e-166	8.087444875588827e-189	2.3663452740154508e-212	2.594526019890496e-237	1.0659849819226447e-263	1.6411840215296887e-291	9.466e-321	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8933e-320	3.2823680430593774e-291	2.1319699638433505e-263	5.189052039776273e-237	4.7326905480265975e-212	1.617488975115099e-188	2.071513118320341e-166	9.941391678280849e-146	1.787803650865641e-126	1.2047740179027438e-108	3.042317280823905e-92	2.8788335396649437e-77	1.0208025385147595e-63	1.3563759077234888e-51	6.753540848791208e-41	1.260074239792885e-31	8.809958778824773e-24	2.308154281309404e-17	2.2660577831583556e-12	8.337674666642596e-09	1.1534250438238962e-06	6.519876198980645e-06	5.317172546199226e-06	1.4132332221050564e-05	0.0001356107054650841	0.000517477162004396	9.888590910307976e-05	7.169561756585085e-07	1.9488011533394912e-10	1.985012355957605e-15	7.576564503166567e-22	1.0836638459720034e-29	5.808045129910241e-39	1.166483280642784e-49	8.77890183123481e-62	2.475796844111842e-75	2.6163928615085665e-90	1.0361056553963574e-106	1.5375111397444471e-124	8.549596843321536e-144	1.781501281758325e-164	1.3910405186012753e-186	4.07011387130287e-210	4.462584754207609e-235	1.8334941689052747e-261	2.8228365170310703e-289	1.628203e-318	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
albedo	hue	8.151544040062665e-06	1.0750940978575823e-06	8.15216068127268e-06	2.689585164621014e-06	3.906028642147214e-05	0.00011394709818900516	0.0002323760283370453	0.0002694771034149476	0.0007495417925469024	0.0013326467371679008	0.0026008431399483735	0.004859982424376828	0.0071800441386880125	0.012022958135982174	0.015300046168877639	0.025958898778609723	0.039249548954151815	0.06445736359435088	0.07985291152223176	0.10262018013874238	0.11688571718866321	0.10685660604127037	0.11337385233996597	0.08527470629870872	0.05882915296892716	0.05089283506467526	0.04025300017974655	0.029918568143962515	0.022822148353943465	0.019153720435762665	0.018635479913902443	0.010607105939267265	0.006259621078120158	0.0034207745724649627	0.0036364371540404516	0.003180975716526823	0.0020107458846033957	0.0018485783828123626	0.0010042991585916012	0.0006544882380576497	0.00045981639116818496	0.00012685531870587266	3.198769048010047e-05	1.7917270833012956e-05	1.0757107382985483e-06	5.37855368572486e-07	8.151389880721475e-06	5.375470485442657e-07	1.541597257161247e-10	1.9226268707326382e-16	1.0427704557897039e-24	2.459529635729473e-35	2.5228128432139394e-48	1.1253500592020016e-63	2.183030857177919e-81	1.8416272922633328e-101	6.756367152681371e-124	1.0779394660113093e-148	7.479027588969782e-176	2.2566568734348984e-205	2.961116912330859e-237	1.6897218179517437e-271	4.193189603381404e-308	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.193189603381404e-308	1.6897218179502073e-271	2.961116912330859e-237	2.256656873436822e-205	7.479027588969782e-176	1.0779394660105125e-148	6.756367152681371e-124	1.841627292264432e-101	2.183030857177919e-81	1.1253500592014899e-63	2.5228128432139394e-48	2.459529635730312e-35	1.0427704557897039e-24	1.9226268707322554e-16	1.541597257161247e-10	5.375470485443015e-07	8.151389880336949e-06	5.375470485443015e-07	1.541597257161247e-10	1.9226268707322554e-16	1.0427704557897039e-24	2.459529635730312e-35	2.5228128432139394e-48	1.1253500592014899e-63	2.183030857177919e-81	1.841627292264432e-101	6.756367152681371e-124	1.0779394660105125e-148	7.479027588969782e-176	2.256656873436822e-205	2.961116912330859e-237	1.6897218179502073e-271	4.193189603381404e-308	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
flavedo	hue	0.0009258558448921651	0.0008206336773790349	0.0005682042533871086	0.0003649338632630941	0.00029088144043637	0.0003135863599148593	0.0003914108035815083	0.0005274740482577481	0.0007733667569108703	0.0012259400545063723	0.0020193125953251595	0.003293569366663233	0.005160968453533229	0.007722792533777077	0.011183770315081465	0.016015186325300454	0.022856148422591514	0.0317601436592452	0.041210115418289575	0.048409390398355345	0.051290141161398926	0.05004676645998482	0.04641041937597365	0.04206803263259302	0.03807823379528536	0.03501861442836434	0.033060247670928855	0.03192558428050864	0.030995741168929752	0.02975983524045902	0.028282828088949524	0.027082329226732912	0.026588824850947792	0.026823628816136792	0.02735788367301447	0.027506042415080895	0.026847946417439872	0.02551610053996714	0.02383716062598898	0.022008949864604194	0.020179799939297912	0.01846384091916933	0.01678932086432095	0.01493578293981643	0.012796574217261276	0.010510493166356731	0.008324332191394928	0.006430275148678115	0.00491953989671688	0.0037850431351307222	0.0029544777057850056	0.0023536841234553818	0.0019386312514421947	0.0016751746533947111	0.001510478145500578	0.0013764692682175354	0.0012351309054497845	0.0011137144929790688	0.0010593803451458923	0.0010534600432785454	0.0010100968969221542	0.0008779503919576043	0.0007019524742635088	0.0005578530244677753	0.0004708889188517959	0.00042199873409399033	0.00039059342198533893	0.00037035818765117237	0.00036184757762964317	0.0003594372675176392	0.0003500161298651209	0.00032949762524870377	0.0003120157787881452	0.0003122873330267842	0.0003211186508488587	0.00030906697276855054	0.0002619188627320105	0.0002020710645255021	0.00016242132221479382	0.00014944769329950988	0.00014386622019557914	0.00013088353967128006	0.00011578473362439606	0.00010794906332995912	0.00010529849270234211	0.00010508148536016251	0.00012421837090766856	0.00020150629047134444	0.000361642978419317	0.0005500525996233455	0.0006346817259302802	0.0005392396191616243	0.00034072148260487164	0.00017387818660959093	9.457852335682428e-05	7.54677345525962e-05	7.334613837051425e-05	6.629586755168705e-05	5.304016767817114e-05	4.063570933280256e-05	3.516778403266895e-05	3.839894644900133e-05	4.813859708792046e-05	5.981993655235936e-05	6.74605312086553e-05	6.505210044908826e-05	5.16492582715577e-05	3.544618811171686e-05	2.7756857057771893e-05	3.23641490780857e-05	4.392097653335252e-05	5.63683872921159e-05	6.833172196276845e-05	7.737323423266517e-05	7.610694196722313e-05	6.256513407815808e-05	5.020979318358073e-05	6.145552118359877e-05	0.00010835191561220828	0.00017149528155174407	0.00020445264449754278	0.0001798117448007844	0.00012206196634865425	7.654493549832188e-05	6.204614024361927e-05	6.5631448229122e-05	6.770303113312964e-05	6.119139852386426e-05	5.064529736931444e-05	4.1617399646245654e-05	3.625766485285639e-05	3.5793985763833714e-05	4.129567982540289e-05	5.128167157691238e-05	6.070025925158347e-05	6.38454808166087e-05	6.0235877030732735e-05	5.644926690289139e-05	5.923591640844762e-05	6.817570251865027e-05	7.61931765874765e-05	7.678443088764337e-05	7.07343007751778e-05	6.398200089812429e-05	5.967193556818669e-05	5.806791771426256e-05	6.924143089728619e-05	0.0001215985978240125	0.00023680497075825649	0.0003763676124703233	0.0004415745694539695	0.00037462631839312786	0.00023132178632940945	0.0001099126101031679	5.15682245196792e-05	3.778533397345247e-05	3.8292536142888046e-05	3.818211993555143e-05	3.7341969686474116e-05	3.792691768618936e-05	3.8034571782527876e-05	3.7153590395636915e-05	3.963117140505424e-05	4.843426469974709e-05	5.868113036308391e-05	6.140902958456213e-05	5.543697417653779e-05	5.1922422411722085e-05	6.151576343990271e-05	7.869741035202408e-05	8.653941729578796e-05	7.79776265971601e-05	6.308429068029562e-05	5.3957940884634254e-05	5.3795850202414855e-05	6.0348629612627834e-05	6.804107781937849e-05	6.764268724847926e-05	5.387361550649351e-05	3.2656753369325786e-05	1.4723943404496917e-05	4.893916448335089e-06	1.1961079215609439e-06	2.1495194007766874e-07	2.841263868995557e-08	2.761255755446391e-09	1.9699156728778163e-10	1.0289184741574515e-11	3.921392635717318e-13	1.0865473506361014e-14	2.1811727874817672e-16	3.16242356938507e-18	3.303041441935561e-20	2.4801113136361785e-22	1.3365717326708556e-24	5.163533129142519e-27	1.4286954962172026e-29	2.82929924780999e-32	4.008220862225174e-35	4.060723060084198e-38	2.9411850977967867e-41	1.5227483342457035e-44	5.634597183294869e-48	1.489995961174316e-51	2.8155617397902733e-55	3.801731827761054e-59	3.667913882663935e-63	2.5285242085905592e-67	1.2454251896869526e-71	4.382936211781773e-76	1.1020610407516497e-80	1.979868290489615e-85	2.541294918634167e-90	2.330561143463418e-95	1.5270440388333503e-100	7.148707182375503e-106	2.391045334929409e-111	5.71389282407036e-117	9.755736829243445e-123	1.1900674478362542e-128	1.0372094170075149e-134	6.458692423816553e-141	2.8734653280033585e-147	9.133778494776932e-154	2.0743312456892052e-160	3.3658041171973955e-167	3.9019584574725125e-174	3.2319118581695516e-181	1.9125791987540318e-188	8.086533587699282e-196	2.4428027670771206e-203	5.2722676602555205e-211	8.129981047357118e-219	8.95704281883924e-227	7.050546813620638e-235	3.9651898225851307e-243	1.5932656627864041e-251	4.573992427951629e-260	9.381790198693025e-269	1.374861727928062e-277	1.4395122296216104e-286	1.0768487920276512e-295	5.75542132562897e-305	2.197771554e-314	5e-324	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
pulp	saturation	3.564222695005021e-07	4.499485749693569e-07	5.498582962992371e-07	6.510210263148307e-07	7.473518662612041e-07	8.324701289405013e-07	9.005775352492837e-07	9.474553512440363e-07	9.714007500979449e-07	9.738603635570807e-07	9.595161189892116e-07	9.356669839744303e-07	9.109270298400022e-07	8.934771080007581e-07	8.892853166496461e-07	9.007739972064495e-07	9.263209316436726e-07	9.607608384942245e-07	9.967722668440985e-07	1.026787899080158e-06	1.0449313415732385e-06	1.048497592954084e-06	1.0386457714869419e-06	1.020210943072363e-06	1.0007967599664047e-06	9.895112395410849e-07	9.957989918648131e-07	1.0287780921500836e-06	1.097322201870201e-06	1.2108967381490955e-06	1.380954965783562e-06	1.6226242687917582e-06	1.956524295058153e-06	2.410837538971746e-06	3.024086550287042e-06	3.849283416540853e-06	4.96003191339618e-06	6.458686774194368e-06	8.485849552220748e-06	1.122949203168383e-05	1.493113667908006e-05	1.9886118336392852e-05	2.643529544644812e-05	3.4946852418080424e-05	4.578901708020964e-05	5.929729977950483e-05	7.574260081279808e-05	9.53083255536913e-05	0.00011808456551187264	0.00014408487628715696	0.0001732863556257376	0.00020568761354816095	0.0002413735257038467	0.00028057222605320993	0.0003236900012330727	0.00037131398526009775	0.0004241800313304232	0.0004831120481670859	0.0005489470166442242	0.0006224643964584428	0.0007043378575526091	0.0007951206711400713	0.0008952648936561336	0.0010051617353108847	0.0011251804931003684	0.0012556802992327286	0.0013969750777941732	0.0015492468331226004	0.0017124216678459359	0.0018860403769979423	0.002069164524648489	0.0022603553078178107	0.0024577461234678325	0.0026592050291175057	0.002862557958260807	0.0030658259876301516	0.0032674261112779334	0.003466296104674036	0.0036619260753331293	0.00385430413086206	0.00404380212250964	0.00423103293160586	0.004416701774256612	0.00460145528047005	0.004785713324392429	0.004969460717044183	0.005151986492275016	0.00533158774934528	0.005505294064366037	0.00566870178845154	0.00581601824691078	0.005940392649197265	0.006034553282894472	0.0060916921452129	0.006106461262949377	0.006075894764906112	0.0060000659325612155	0.005882333754345075	0.0057291174970076405	0.005549236561921863	0.005352938603037072	0.005150789704765584	0.004952607470280548	0.004766586607240802	0.004598712519632875	0.004452499623958242	0.004329041345785028	0.004227323844394249	0.004144734173973775	0.004077681366199158	0.004022242704268661	0.003974748006180798	0.003932225848198497	0.0038926606386566385	0.0038550470304467193	0.0038192706172616026	0.0037858789147499953	0.003755822547882828	0.0037302378735520926	0.0037103128750105895	0.003697240018498704	0.0036922275723092466	0.0036965256656628104	0.0037114280374026093	0.0037382295085826795	0.00377814226081829	0.003832190725614086	0.0039011093922485876	0.003985260304716197	0.004084572691170643	0.004198493667184441	0.004325933186164739	0.00446519210525212	0.004613878524316749	0.004768838840880366	0.0049261472906016466	0.005081201738271412	0.005228958284578696	0.005364303962431955	0.005482524558046667	0.005579788039694658	0.005653547663716763	0.005702780462036988	0.005728013998110657	0.005731144847828172	0.005715099467522245	0.005683417449988224	0.005639841687747517	0.005587981841397345	0.005531085869193618	0.0054719209669150184	0.005412740221595959	0.005355300330662163	0.005300899320676204	0.005250417103478024	0.005204358740441106	0.0051629126298408275	0.005126037683719467	0.005093583409133547	0.005065428458983954	0.005041604796749931	0.005022365529990059	0.0050081612787332185	0.0049995129974376475	0.004996801647184499	0.0050000253456176915	0.00500859081123912	0.005021201228487549	0.005035878246625073	0.0050501203693811385	0.005061165941909979	0.005066307255840216	0.005063198131763568	0.005050108609556383	0.0050260996194649386	0.004991108984133775	0.004945951981014742	0.004892244259543407	0.004832255841858886	0.004768707276334624	0.00470452558912639	0.004642587086957868	0.004585481332009422	0.004535330168026223	0.004493684932495867	0.004461506412812605	0.004439212535734121	0.004426766199389122	0.004423775087678139	0.004429586071070933	0.004443372696680958	0.004464226691164254	0.004491266749745189	0.004523768967968107	0.004561307771508512	0.0046038820321401	0.004651995160630611	0.0047066628967802285	0.004769335697358194	0.004841738407162823	0.004925642953042455	0.005022597687664418	0.005133640566002763	0.005259024975388936	0.005397988386451635	0.005548594530346154	0.0057076773239437195	0.00587090710436555	0.006032986528168856	0.006187966678476512	0.006329656858215373	0.006452087474671853	0.006549976443609318	0.006619146628250071	0.006656845476157919	0.006661928665802605	0.006634887165222348	0.00657772002503985	0.006493679583249461	0.00638693585480843	0.006262217023513771	0.006124479802131279	0.0059786476733950196	0.005829431556298794	0.005681223809407741	0.005538040262384444	0.005403481013839101	0.005280689355932316	0.005172304994015365	0.005080425330404206	0.005006599529321626	0.004951879842329172	0.004916943275116943	0.00490227830753111	0.004908412323873239	0.004936141493720487	0.004986719613378417	0.00506196654779419	0.0051642684124274234	0.005296456204782665	0.005461561054830547	0.005662445856756727	0.005901300660792964	0.00617896641762634	0.006494034279335385	0.0068416833657162805	0.007212298750222749	0.007590066428879745	0.007951946572334029	0.008267602220980988	0.008500892536049815	0.008613322955047164	0.008569351664177756	0.008342784816014777	0.007922880986165583	0.007318507451973263
albedo	saturation	9.201926457403821e-06	1.1383806762319015e-05	1.3700010561696651e-05	1.6120309589843854e-05	1.86482274232468e-05	2.1329974969656026e-05	2.4259180150137893e-05	2.7582381851786605e-05	3.1511288707793157e-05	3.634418317944717e-05	4.249085805671111e-05	5.048614913769328e-05	6.0971468032956456e-05	7.462664557386792e-05	9.204818302302352e-05	0.00011359246730036415	0.00013922648278471303	0.00016844366912117494	0.00020029915387193353	0.00023359273217273568	0.00026718545676458186	0.0003003918794597118	0.00033336410111268	0.0003673895394453286	0.00040506136418431217	0.00045033233657761746	0.0005085031986626323	0.0005862029034643495	0.0006913829129361453	0.0008332862271560371	0.0010222951016522106	0.0012695431191835009	0.0015862156389092868	0.0019825490489198076	0.0024666403748225493	0.0030432532493130183	0.0037128273100199313	0.004470868090986073	0.005307839416193788	0.006209626500148958	0.007158587361946737	0.008135136226912362	0.009119676263551172	0.010094530243691932	0.011045379239949148	0.011961723406938421	0.012836107315443891	0.01366228130422472	0.014432944082849184	0.01513800016259179	0.015764184484280203	0.016296433026661422	0.016720686751419005	0.017027206022717234	0.017213221471577875	0.01728397300211743	0.017251791916423464	0.017133596954938747	0.016947701558506407	0.01671096657378108	0.016437062772310676	0.016136088114547607	0.015815259995383076	0.015480086198716027	0.015135401916304598	0.014785891367351665	0.014436041717271015	0.014089742835857863	0.01374985099861761	0.013417973146339395	0.013094568909834074	0.012779302984278897	0.012471481935256193	0.012170403537005412	0.01187551616304708	0.01158638713620211	0.011302564265054103	0.011023449842546303	0.010748281718238493	0.010476248258707946	0.01020668715684603	0.00993926850858685	0.00967406320011145	0.009411447967120767	0.009151874939655726	0.0088955996740697	0.008642484758545408	0.008391962820174998	0.008143167804096203	0.007895164256381247	0.0076471631958930164	0.007398633428000626	0.007149288309465108	0.0068990094093503	0.00664781222404007	0.0063959381143789415	0.006144081114637902	0.005893669134642868	0.005647063826031563	0.005407550100127054	0.005179051303174225	0.004965600004962568	0.00477067958474988	0.004596599298846466	0.004444063279410893	0.004312046168768332	0.004198010081511537	0.0040984105028367785	0.00400936583342173	0.003927327335642221	0.0038495950712224784	0.003774577985618426	0.0037017736901332303	0.0036315179811047408	0.003564601566869609	0.0035018620436883035	0.0034438397938016873	0.0033905536473201043	0.003341420488480493	0.0032953175885775915	0.0032507637110398228	0.003206170635455039	0.0031600941702680622	0.0031114060471232287	0.0030593300560198644	0.003003340284113482	0.0029429880510022637	0.0028777716739537963	0.0028071559335265755	0.0027307778743862975	0.0026487714707228646	0.0025620606911001377	0.0024724586869345356	0.0023824838655744076	0.002294927785934833	0.0022123220254911353	0.0021364948177962214	0.002068364427848101	0.0020080114985070634	0.001954960945093109	0.0019085360518558015	0.0018681460210618337	0.0018334220708088479	0.0018041928170735963	0.0017803515133556233	0.0017616943799262596	0.0017477992972819232	0.0017379813625905442	0.0017313252542246603	0.0017267690220994522	0.001723205955370652	0.0017195780328779229	0.0017149484683262836	0.0017085537352367602	0.0016998418058727027	0.0016885021945355066	0.0016744876505330158	0.0016580216623612815	0.0016395841208241193	0.001619870557360431	0.0015997262915974635	0.0015800621305011719	0.0015617605580971665	0.001545580912083197	0.0015320713257719616	0.0015214965788021672	0.0015137943179238192	0.0015085742008735397	0.0015051710492075035	0.001502751807890716	0.0015004592368270606	0.0014975594205962027	0.0014935534322524993	0.0014882209690506227	0.0014815844209705505	0.0014738081828722053	0.0014650695792300069	0.0014554460449022841	0.0014448555788490927	0.0014330678443610495	0.0014197795283988305	0.0014047279250592223	0.001387806880187814	0.0013691511456034795	0.0013491669414587265	0.0013285031741267523	0.0013079730353753904	0.0012884446316172502	0.0012707206053352885	0.0012554233627306592	0.001242899281454077	0.001233154882457181	0.0012258387893549498	0.001220280666144678	0.001215588570189691	0.0012107904400273134	0.0012049900483826167	0.0011975006093192572	0.0011879250129681058	0.0011761688711317134	0.0011623942244576785	0.0011469390585695759	0.0011302342232828487	0.0011127434488339577	0.001094937492758764	0.0010772966596188248	0.0010603237015567137	0.0010445456029044358	0.0010304884247929295	0.0010186213682621998	0.0010092798541393492	0.0010025880302825807	0.0009984052351881248	0.0009963169379510286	0.0009956790509879018	0.000995708162914484	0.000995594241240273	0.0009946027389854265	0.0009921344243687122	0.0009877243499318146	0.0009809820135506726	0.0009714954246556695	0.0009587350435008	0.0009419953381057597	0.0009204024700730594	0.0008930000631899289	0.0008589055932186838	0.0008175112987032713	0.0007686885680419494	0.0007129467097902461	0.0006514995273894764	0.0005862087094720518	0.0005194004651387255	0.0004535845794350113	0.00039113275771792566	0.00033398563432161094	0.00028345000943257715	0.0002401222644686461	0.00020393964383199964	0.00017432990565022146	0.00015041114219517947	0.00013119112077498757	0.00011572694363545047	0.00010322472136784031	9.3077912995788e-05	8.485646345654543e-05	7.826464062498367e-05	7.308464582923798e-05	6.911893804706307e-05	6.614042168525684e-05	6.385827589572257e-05	6.190755147131905e-05	5.9869654828129464e-05	5.732523727188549e-05	5.393034859693984e-05	4.949487570693605e-05
